title,date
"Outlander: Season 1: The Devil's Mark","5/19/20"
"Outlander: Season 1: By the Pricking of My Thumbs","5/19/20"
"Outlander: Season 1: The Reckoning","5/19/20"
"Outlander: Season 1: Both Sides Now","5/19/20"
"Outlander: Season 1: The Wedding","5/19/20"
"Outlander: Season 1: The Garrison Commander","5/19/20"
"Outlander: Season 1: Rent","5/19/20"
"Outlander: Season 1: The Gathering","5/19/20"
"Outlander: Season 1: The Way Out","5/18/20"
"Outlander: Season 1: Castle Leoch","5/18/20"
"The Midnight Gospel: Season 1: Taste of the King","5/9/20"
"A Secret Love","5/1/20"
